Round,Date,Team 1,FT,Team 2
1,Fri Aug 10 2001,Wolverhampton Wanderers FC,2-2,Portsmouth FC
1,Fri Aug 10 2001,Wimbledon FC,3-1,Birmingham City FC
1,Fri Aug 10 2001,Walsall FC,2-1,West Bromwich Albion FC
1,Fri Aug 10 2001,Stockport County FC,0-2,Coventry City FC
1,Fri Aug 10 2001,Rotherham United FC,2-3,Crystal Palace FC
1,Fri Aug 10 2001,Nottingham Forest FC,1-1,Sheffield United FC
1,Fri Aug 10 2001,Millwall FC,4-0,Norwich City FC
1,Fri Aug 10 2001,Manchester City FC,3-0,Watford FC
1,Fri Aug 10 2001,Grimsby Town FC,1-0,Crewe Alexandra FC
1,Fri Aug 10 2001,Gillingham FC,5-0,Preston North End FC
1,Fri Aug 10 2001,Bradford City AFC,4-0,Barnsley FC
1,Sat Aug 11 2001,Sheffield Wednesday FC,0-2,Burnley FC
2,Fri Aug 17 2001,West Bromwich Albion FC,0-1,Grimsby Town FC
2,Fri Aug 17 2001,Watford FC,3-2,Rotherham United FC
2,Fri Aug 17 2001,Sheffield United FC,0-0,Gillingham FC
2,Fri Aug 17 2001,Preston North End FC,1-1,Walsall FC
2,Fri Aug 17 2001,Portsmouth FC,0-1,Bradford City AFC
2,Fri Aug 17 2001,Barnsley FC,2-1,Nottingham Forest FC
2,Fri Aug 17 2001,Crystal Palace FC,4-1,Stockport County FC
2,Fri Aug 17 2001,Crewe Alexandra FC,0-2,Sheffield Wednesday FC
2,Fri Aug 17 2001,Burnley FC,3-2,Wimbledon FC
2,Fri Aug 17 2001,Norwich City FC,2-0,Manchester City FC
2,Sat Aug 18 2001,Birmingham City FC,4-0,Millwall FC
2,Sat Aug 18 2001,Coventry City FC,0-1,Wolverhampton Wanderers FC
3,Wed Aug 22 2001,Rotherham United FC,1-1,Sheffield United FC
3,Thu Aug 23 2001,Bradford City AFC,2-1,Coventry City FC
3,Fri Aug 24 2001,Stockport County FC,0-1,Portsmouth FC
3,Fri Aug 24 2001,Wimbledon FC,0-1,Norwich City FC
3,Fri Aug 24 2001,Walsall FC,1-2,Birmingham City FC
3,Fri Aug 24 2001,Wolverhampton Wanderers FC,1-0,Watford FC
3,Fri Aug 24 2001,Sheffield Wednesday FC,1-1,West Bromwich Albion FC
3,Fri Aug 24 2001,Nottingham Forest FC,4-2,Crystal Palace FC
3,Fri Aug 24 2001,Millwall FC,0-2,Burnley FC
3,Fri Aug 24 2001,Manchester City FC,5-2,Crewe Alexandra FC
46,Sun Apr 21 2002,Norwich City FC,2-0,Stockport County FC
46,Sun Apr 21 2002,Millwall FC,3-1,Grimsby Town FC
46,Sun Apr 21 2002,Manchester City FC,3-1,Portsmouth FC
46,Sun Apr 21 2002,Crewe Alexandra FC,2-0,Rotherham United FC
46,Sun Apr 21 2002,Burnley FC,1-0,Coventry City FC
46,Sun Apr 21 2002,Birmingham City FC,2-0,Sheffield United FC
